antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'/shuttle/countdown'}),frozenset({'/history/apollo/images'}),0.38376138453697345,0.6417000908546989,0.20253949963436524,0.5277745698117565,0.8224629812796166,1.0,-0.043720215689535685,0.7587475943480464,-0.2594165399185015,0.246122361051271,-0.3179613450494688,0.42170205111901454
frozenset({'/shuttle/countdown'}),frozenset({'/shuttle/missions/sts-69'}),0.38376138453697345,0.4967092871230084,0.3578788751745075,0.9325557223697887,1.8774678600660921,1.0,0.16726103143580873,7.462318977400466,0.7584200361889211,0.6848153330789128,0.8659933992330685,0.8265276938862105
frozenset({'/shuttle/missions/sts-69'}),frozenset({'/shuttle/countdown'}),0.4967092871230084,0.38376138453697345,0.3578788751745075,0.7204996654026322,1.8774678600660921,1.0,0.16726103143580873,2.2047866824586984,0.9286237577658377,0.6848153330789128,0.5464413823087699,0.8265276938862105
"frozenset({'/history/apollo/images', '/shuttle/countdown'})",frozenset({'/shuttle/missions/sts-69'}),0.20253949963436524,0.4967092871230084,0.19686662086998913,0.9719912472647702,1.9568614327600842,1.0,0.09626337039235275,17.96905123318629,0.6131684427991512,0.39186626086189413,0.9443487590400352,0.6841664913548924
"frozenset({'/history/apollo/images', '/shuttle/missions/sts-69'})",frozenset({'/shuttle/countdown'}),0.32000797748576243,0.38376138453697345,0.19686662086998913,0.6151928536804929,1.6030608562212498,1.0,0.0740599163671763,1.601421962552018,0.553232025609914,0.38837158469945354,0.3755549609133591,0.5640925580332248
"frozenset({'/shuttle/countdown', '/shuttle/missions/sts-69'})",frozenset({'/history/apollo/images'}),0.3578788751745075,0.6417000908546989,0.19686662086998913,0.5500928792569659,0.8572429505569826,1.0,-0.032784285844469796,0.7963863931594567,-0.20593596880397022,0.2452517667844523,-0.2556718806216152,0.4284410110767874
frozenset({'/shuttle/countdown'}),"frozenset({'/history/apollo/images', '/shuttle/missions/sts-69'})",0.38376138453697345,0.32000797748576243,0.19686662086998913,0.5129922623859567,1.6030608562212498,1.0,0.0740599163671763,1.396265336246332,0.6104670408092998,0.38837158469945354,0.28380374844199535,0.5640925580332248
frozenset({'/shuttle/missions'}),frozenset({'/history/apollo/images'}),0.3004188180025262,0.6417000908546989,0.24468721607906574,0.8144869808954784,1.2692642443148787,1.0,0.051908433272383425,1.9314003452416895,0.3032414204250343,0.3508404028850126,0.48224095410169193,0.5978989224527119
frozenset({'/shuttle/missions'}),frozenset({'/shuttle/missions/sts-69'}),0.3004188180025262,0.4967092871230084,0.1634941387639329,0.5442206977944973,1.0956523501839073,1.0,0.01427332183556132,1.1042421418471235,0.12479142719243491,0.2580261593341261,0.0944015247169902,0.4366876408892183
"frozenset({'/shuttle/countdown', '/shuttle/missions'})",frozenset({'/history/apollo/images'}),0.11305870099940168,0.6417000908546989,0.09145301039289118,0.8088984711877696,1.2605553321807612,1.0,0.018903231689660877,1.8749191143172583,0.23304681605738614,0.13787458657668797,0.4666436581910124,0.47570760979099785
"frozenset({'/shuttle/countdown', '/shuttle/missions'})",frozenset({'/shuttle/missions/sts-69'}),0.11305870099940168,0.4967092871230084,0.10825004985928602,0.957467659741278,1.9276218193684878,1.0,0.05209274308281985,11.833130032711596,0.542568085325382,0.21584482149169318,0.9154915058623041,0.5877010393285913
"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions'})",frozenset({'/shuttle/countdown'}),0.1634941387639329,0.38376138453697345,0.10825004985928602,0.6621035510978586,1.7253000895249486,1.0,0.045507312803559075,1.8237499016791863,0.5025555782141552,0.24658018272676796,0.451679202790214,0.4720900016720382
"frozenset({'/history/apollo/images', '/shuttle/countdown', '/shuttle/missions'})",frozenset({'/shuttle/missions/sts-69'}),0.09145301039289118,0.4967092871230084,0.08874952910674319,0.970438575236249,1.9537355157120773,1.0,0.043323969509237135,17.025252229863423,0.5372974635364332,0.17770776944580025,0.9412637189453243,0.5745567848298131
"frozenset({'/history/apollo/images', '/shuttle/missions/sts-69', '/shuttle/missions'})",frozenset({'/shuttle/countdown'}),0.13694683892126663,0.38376138453697345,0.08874952910674319,0.6480582524271845,1.6887010484629608,1.0,0.036194620594356026,1.7509676522121862,0.47254200921659706,0.205458369671164,0.4288872220245803,0.4396602614486078
"frozenset({'/shuttle/countdown', '/shuttle/missions/sts-69', '/shuttle/missions'})",frozenset({'/history/apollo/images'}),0.10825004985928602,0.6417000908546989,0.08874952910674319,0.8198567041965199,1.2776322083802871,1.0,0.019285462277013665,1.9889716547440854,0.2436805702528417,0.13422481399557612,0.49722762633906575,0.47908022722775784
"frozenset({'/shuttle/countdown', '/shuttle/missions'})","frozenset({'/history/apollo/images', '/shuttle/missions/sts-69'})",0.11305870099940168,0.32000797748576243,0.08874952910674319,0.7849862798902392,2.4530209717198823,1.0,0.05256984286275711,3.1625517765429723,0.66784509993364,0.2577551808469558,0.6837996432446987,0.5311608222385895
"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions'})","frozenset({'/history/apollo/images', '/shuttle/countdown'})",0.1634941387639329,0.20253949963436524,0.08874952910674319,0.5428300352399024,2.680119365456354,1.0,0.055635508048344745,1.7443414087452276,0.7494057353471741,0.3200671301846079,0.4267177314105392,0.4905069213398636
"frozenset({'/history/apollo/images', '/shuttle/missions'})",frozenset({'/shuttle/missions/sts-69'}),0.24468721607906574,0.4967092871230084,0.13694683892126663,0.5596812171708023,1.1267782416804282,1.0,0.01540842625452038,1.1430144079777338,0.1489633521374557,0.22656450489423322,0.12512038954151097,0.41769472413302555
"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions'})",frozenset({'/history/apollo/images'}),0.1634941387639329,0.6417000908546989,0.13694683892126663,0.837625372729737,1.3053221974989586,1.0,0.03203263522224013,2.206624983033415,0.2796222125003675,0.2049343414245921,0.5468192340388919,0.5255189506096368
frozenset({'/history'}),frozenset({'/history/apollo/images'}),0.15429787045449508,0.6417000908546989,0.14454761007822367,0.9368088467614534,1.4598857941779166,1.0,0.045534652588887614,5.6700960622243874,0.372489202099822,0.2218858425743248,0.823636144956652,0.5810330579549376
frozenset({'/history'}),frozenset({'/shuttle/missions'}),0.15429787045449508,0.3004188180025262,0.08389655860128083,0.5437311503662214,1.809910424325181,1.0,0.03754257473903451,1.5332652723476266,0.5291301192235496,0.22624596629616348,0.34779713723713895,0.4114982372764942
"frozenset({'/history/apollo/images', '/history'})",frozenset({'/shuttle/missions'}),0.14454761007822367,0.3004188180025262,0.07833447825027146,0.5419285604783075,1.8039101680832474,1.0,0.03490965608548146,1.527231609829157,0.5209508743405094,0.21365971592626173,0.345220467174678,0.40133973203527384
"frozenset({'/history', '/shuttle/missions'})",frozenset({'/history/apollo/images'}),0.08389655860128083,0.6417000908546989,0.07833447825027146,0.933703116745906,1.4550459475582742,1.0,0.024498048973432975,5.404475920414783,0.34137682017984966,0.12102434181245507,0.8149681829050962,0.5278882321763925
frozenset({'/history'}),"frozenset({'/history/apollo/images', '/shuttle/missions'})",0.15429787045449508,0.24468721607906574,0.07833447825027146,0.5076834697687779,2.074826294172762,1.0,0.040579761881832724,1.5342015503038116,0.6125465737314444,0.2442985487214928,0.3481951574081162,0.41391237426131344
"frozenset({'/shuttle/countdown', '/history'})",frozenset({'/history/apollo/images'}),0.038956722139738956,0.6417000908546989,0.035654929421410686,0.9152445961319683,1.4262809202861846,1.0,0.010656397284938939,4.227457988439197,0.3109910400610508,0.0552787989143505,0.763451227017585,0.4854039128183842
"frozenset({'/shuttle/countdown', '/history'})",frozenset({'/shuttle/missions'}),0.038956722139738956,0.3004188180025262,0.026458661111972877,0.6791808873720138,2.260780106545465,1.0,0.014755328693499657,2.1806094289921263,0.5802806372010855,0.08455491820692587,0.5414126038782663,0.38362673490087745
"frozenset({'/shuttle/countdown', '/history'})",frozenset({'/shuttle/missions/sts-69'}),0.038956722139738956,0.4967092871230084,0.036297560218937666,0.9317406143344711,1.8758268437685335,1.0,0.016947394536258813,7.373208943647938,0.48582802134878517,0.07268693143998226,0.8643738421570832,0.5024083397347127
"frozenset({'/history', '/shuttle/missions/sts-69'})",frozenset({'/shuttle/countdown'}),0.057504376537327984,0.38376138453697345,0.036297560218937666,0.63121387283237,1.6448082018308325,1.0,0.014229601062037227,1.6709918569765456,0.4159450380648537,0.08963064295485636,0.40155303820009197,0.36289877150106775
"frozenset({'/history/apollo/images', '/shuttle/countdown', '/history'})",frozenset({'/shuttle/missions/sts-69'}),0.035654929421410686,0.4967092871230084,0.03361623861546303,0.9428216283405843,1.8981356958342872,1.0,0.015906104040132946,8.802116924120437,0.4906617869395256,0.06740125294352868,0.8863909661027449,0.505249761303908
"frozenset({'/history/apollo/images', '/shuttle/missions/sts-69', '/history'})",frozenset({'/shuttle/countdown'}),0.053892348261572895,0.38376138453697345,0.03361623861546303,0.623766447368421,1.625401805658548,1.0,0.012934436430653059,1.6379150959629296,0.40668470377838295,0.08320078977677836,0.38946774319086386,0.35568158377198045
"frozenset({'/shuttle/countdown', '/shuttle/missions/sts-69', '/history'})",frozenset({'/history/apollo/images'}),0.036297560218937666,0.6417000908546989,0.03361623861546303,0.9261294261294262,1.443243408140846,1.0,0.010324090925166823,4.850373976694244,0.31868362199441164,0.05216823136971698,0.7938303304436028,0.4892578203235017
"frozenset({'/shuttle/countdown', '/history'})","frozenset({'/history/apollo/images', '/shuttle/missions/sts-69'})",0.038956722139738956,0.32000797748576243,0.03361623861546303,0.8629124004550627,2.6965340277914,1.0,0.02114977675405034,4.960273757593487,0.6546568619888385,0.10332379784770468,0.7983982237937697,0.4839802636580417
