support,itemsets
0.06934864951848092,"frozenset({'/shuttle/countdown', '/shuttle/countdown/video'})"
0.006733840021785953,"frozenset({'/shuttle/countdown/video', '/shuttle/missions/sts-71'})"
0.01546802663827891,"frozenset({'/shuttle/missions/sts-70', '/shuttle/countdown/video'})"
0.009957170796920259,"frozenset({'/shuttle/countdown/video', '/history/apollo/images'})"
0.006050553313692967,"frozenset({'/shuttle/missions', '/shuttle/countdown/video'})"
0.006476369668011784,"frozenset({'/shuttle/countdown', '/shuttle/countdown/video', '/shuttle/missions/sts-71'})"
0.014898621048201421,"frozenset({'/shuttle/missions/sts-70', '/shuttle/countdown', '/shuttle/countdown/video'})"
0.009417473324585942,"frozenset({'/shuttle/countdown', '/shuttle/countdown/video', '/history/apollo/images'})"
0.007065580669918055,"frozenset({'/shuttle/missions/sts-70', '/shuttle/countdown/video', '/history/apollo/images'})"
0.006862575198673037,"frozenset({'/shuttle/missions/sts-70', '/shuttle/countdown', '/shuttle/countdown/video', '/history/apollo/images'})"
0.005788131606961603,"frozenset({'/shuttle/countdown', '/shuttle/missions', '/shuttle/countdown/video'})"
0.03361968657935781,"frozenset({'/shuttle/countdown', '/shuttle/missions/sts-71/images'})"
0.021365088010298815,"frozenset({'/shuttle/missions/sts-71/images', '/shuttle/missions/sts-71'})"
0.007684499789567499,"frozenset({'/shuttle/missions', '/shuttle/missions/sts-71/images'})"
0.006986359022602927,"frozenset({'/shuttle/missions/sts-71/images', '/history/apollo/images'})"
0.013076523159953458,"frozenset({'/shuttle/missions/sts-71/images', '/shuttle/countdown', '/shuttle/missions/sts-71'})"
0.005228628722798505,"frozenset({'/shuttle/missions/sts-71/images', '/shuttle/missions', '/shuttle/missions/sts-71'})"
0.014259896516723195,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/missions'})"
0.020627336419676675,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/countdown'})"
0.014859010224543856,"frozenset({'/shuttle/technology/sts-newsref', '/history/apollo/images'})"
0.008006337731785211,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/missions/sts-71'})"
0.010140370856336494,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/missions/sts-70'})"
0.006936845493030971,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/countdown/video'})"
0.007040823905132078,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/missions', '/history/apollo/images'})"
0.005312801723070829,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/countdown', '/history/apollo/images'})"
0.0065060777857549575,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/countdown', '/shuttle/missions/sts-70'})"
0.0057237640185180605,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/missions/sts-70', '/history/apollo/images'})"
0.006619958903770456,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/countdown', '/shuttle/countdown/video'})"
0.008209343203030227,"frozenset({'/shuttle/missions/51-l', '/shuttle/missions'})"
0.0076052781422523705,"frozenset({'/shuttle/missions/51-l', '/history/apollo/images'})"
0.0061941425494516375,"frozenset({'/shuttle/missions/51-l', '/shuttle/resources/orbiters'})"
0.005114747604783007,"frozenset({'/shuttle/missions/51-l', '/shuttle/missions', '/history/apollo/images'})"
0.044512663085188024,"frozenset({'/shuttle/countdown', '/shuttle/missions/sts-71'})"
0.02885153368157849,"frozenset({'/shuttle/missions', '/shuttle/missions/sts-71'})"
0.025227143316911345,"frozenset({'/shuttle/missions/sts-71', '/history/apollo/images'})"
0.010927635976530587,"frozenset({'/shuttle/countdown', '/shuttle/missions', '/shuttle/missions/sts-71'})"
0.00733790508256381,"frozenset({'/shuttle/missions/sts-71', '/shuttle/countdown', '/history/apollo/images'})"
0.01318545292501176,"frozenset({'/shuttle/missions/sts-71', '/shuttle/missions', '/history/apollo/images'})"
0.03747183918005595,"frozenset({'/shuttle/countdown', '/history/apollo/images'})"
0.006852672492758646,"frozenset({'/history/apollo/apollo-13/images', '/history/apollo/images'})"
0.005644542371202931,"frozenset({'/history/apollo', '/history/apollo/apollo-13/images'})"
0.011556457802094423,"frozenset({'/history/apollo/apollo-13', '/history/apollo/apollo-13/images'})"
0.005867353254276731,"frozenset({'/history/apollo/apollo-13/movies', '/history/apollo/apollo-13/images'})"
0.0065654940212413046,"frozenset({'/history/apollo/apollo-13', '/history/apollo/apollo-13/images', '/history/apollo/images'})"
0.005396974723343153,"frozenset({'/history/apollo', '/history/apollo/apollo-13', '/history/apollo/apollo-13/images'})"
0.005114747604783007,"frozenset({'/history/apollo/apollo-13', '/history/apollo/apollo-13/images', '/history/apollo/apollo-13/movies'})"
0.027380981853291412,"frozenset({'/shuttle/missions/sts-71/movies', '/shuttle/missions/sts-71'})"
0.010130468150422104,"frozenset({'/shuttle/missions/sts-71/movies', '/shuttle/missions/sts-71/images'})"
0.02313767236897482,"frozenset({'/shuttle/countdown', '/shuttle/missions/sts-71/movies'})"
0.01005619785606417,"frozenset({'/shuttle/missions/sts-71/movies', '/shuttle/countdown/video'})"
0.0050404773104250735,"frozenset({'/shuttle/missions/sts-71/movies', '/shuttle/missions'})"
0.005342509840814002,"frozenset({'/shuttle/missions/sts-71/movies', '/history/apollo/images'})"
0.0069764563166885354,"frozenset({'/shuttle/missions/sts-71/images', '/shuttle/missions/sts-71/movies', '/shuttle/missions/sts-71'})"
0.0054068774292575445,"frozenset({'/shuttle/countdown', '/shuttle/missions/sts-71/movies', '/shuttle/missions/sts-71/images'})"
0.012665560864506226,"frozenset({'/shuttle/countdown', '/shuttle/missions/sts-71/movies', '/shuttle/missions/sts-71'})"
0.009318446265442032,"frozenset({'/shuttle/countdown', '/shuttle/missions/sts-71/movies', '/shuttle/countdown/video'})"
0.008456910850890006,"frozenset({'/shuttle/technology/images', '/shuttle/countdown'})"
0.023632807664694378,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/technology/images'})"
0.007154705023147575,"frozenset({'/shuttle/technology/images', '/history/apollo/images'})"
0.006119872255093704,"frozenset({'/shuttle/technology/images', '/shuttle/missions'})"
0.005436585547000718,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/technology/images', '/shuttle/countdown'})"
0.005570272076844998,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/technology/images', '/history/apollo/images'})"
0.012611095981977075,"frozenset({'/shuttle/countdown/lps', '/shuttle/countdown'})"
0.015131334637189612,"frozenset({'/shuttle/missions', '/shuttle/resources/orbiters'})"
0.008115267496843513,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/resources/orbiters'})"
0.014319312752209542,"frozenset({'/shuttle/resources/orbiters', '/shuttle/missions/sts-71'})"
0.011348500977892209,"frozenset({'/shuttle/resources/orbiters', '/shuttle/missions/sts-70'})"
0.015730448345010275,"frozenset({'/shuttle/countdown', '/shuttle/resources/orbiters'})"
0.005431634194043522,"frozenset({'/shuttle/resources/orbiters', '/shuttle/countdown/video'})"
0.02220186666006486,"frozenset({'/shuttle/resources/orbiters', '/history/apollo/images'})"
0.008635159557349045,"frozenset({'/shuttle/missions', '/shuttle/resources/orbiters', '/history/apollo/images'})"
0.006253558784937985,"frozenset({'/shuttle/countdown', '/shuttle/resources/orbiters', '/shuttle/missions/sts-71'})"
0.005302899017156438,"frozenset({'/shuttle/missions', '/shuttle/resources/orbiters', '/shuttle/missions/sts-71'})"
0.005401926076300349,"frozenset({'/shuttle/missions/sts-71', '/shuttle/resources/orbiters', '/history/apollo/images'})"
0.00608026143143614,"frozenset({'/shuttle/countdown', '/shuttle/resources/orbiters', '/shuttle/missions/sts-70'})"
0.007060629316960859,"frozenset({'/shuttle/resources/orbiters', '/shuttle/missions/sts-70', '/history/apollo/images'})"
0.005867353254276731,"frozenset({'/shuttle/countdown', '/shuttle/resources/orbiters', '/history/apollo/images'})"
0.005089990839997029,"frozenset({'/shuttle/countdown', '/shuttle/resources/orbiters', '/shuttle/countdown/video'})"
0.005451439605872304,"frozenset({'/history/skylab', '/history/apollo/images'})"
0.05014235139751937,"frozenset({'/shuttle/missions', '/history/apollo/images'})"
0.02694031144010101,"frozenset({'/shuttle/countdown', '/shuttle/missions'})"
0.012002079568242022,"frozenset({'/shuttle/countdown', '/shuttle/missions', '/history/apollo/images'})"
0.0072388780234198995,"frozenset({'/shuttle/missions', '/shuttle/missions/sts-78'})"
0.0062981209615527445,"frozenset({'/shuttle/missions/sts-67', '/shuttle/missions'})"
0.05109301116530092,"frozenset({'/history/apollo/apollo-13', '/history/apollo/images'})"
