antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'/facilities'}),frozenset({'/history/apollo/images'}),0.04544846879409799,0.20629316960859556,0.019760849652167456,0.43479681882558013,2.107664638875487,1.0,0.010385140970775638,1.4042858512264267,0.55056348410494,0.08518312985571588,0.28789427086610997,0.26529347469696823
frozenset({'/facilities'}),frozenset({'/images'}),0.04544846879409799,0.649577897160399,0.04193795954744634,0.9227584704216146,1.4205509061429158,1.0,0.012415638759016155,4.536705898398731,0.3101432924059615,0.06421482778750731,0.7795757489254574,0.4936601669749393
frozenset({'/facilities'}),frozenset({'/shuttle/countdown'}),0.04544846879409799,0.25431139058747804,0.010135419503379298,0.22300904237934416,0.87691330641611,1.0,-0.0014226437957193614,0.9597133687321282,-0.12819585837687839,0.034995042226553155,-0.041977774386006646,0.131431704710563
frozenset({'/facts'}),frozenset({'/images'}),0.024741910727106183,0.649577897160399,0.020637239125591067,0.8341004602761656,1.2840653352313844,1.0,0.004565440783747113,2.112254822544614,0.22683577857985407,0.03157073495883231,0.5265722727548046,0.4329353450841161
frozenset({'/history/apollo'}),frozenset({'/history'}),0.07096279058252668,0.056252320946698686,0.02703933849924492,0.3810354451576891,6.773683978635039,1.0,0.02304751682812326,1.5247200694613816,0.9174765431088762,0.2699189402926057,0.3441419051083539,0.4308574814028917
frozenset({'/history'}),frozenset({'/history/apollo'}),0.056252320946698686,0.07096279058252668,0.02703933849924492,0.48067951764809436,6.773683978635039,1.0,0.02304751682812326,1.7889477518969348,0.9031755693120175,0.2699189402926057,0.44101218219501565,0.4308574814028917
frozenset({'/history/apollo/apollo-13'}),frozenset({'/history'}),0.07210655311563885,0.056252320946698686,0.013868739633104745,0.19233674380278787,3.4191788101514,1.0,0.009812578664883654,1.168491536307875,0.7625143985288443,0.12113480084764086,0.1441957695648048,0.2194409711444183
frozenset({'/history'}),frozenset({'/history/apollo/apollo-13'}),0.056252320946698686,0.07210655311563885,0.013868739633104745,0.24654519848604875,3.4191788101514,1.0,0.009812578664883654,1.231518393697807,0.7497047455095511,0.12113480084764086,0.18799426373376396,0.2194409711444183
frozenset({'/history/apollo/images'}),frozenset({'/history'}),0.20629316960859556,0.056252320946698686,0.046186220384720124,0.22388632872503839,3.9800371781491397,1.0,0.03458175079878566,1.2159915666772867,0.943353435988341,0.21347003226766137,0.17762587553751433,0.5224704066827375
frozenset({'/history'}),frozenset({'/history/apollo/images'}),0.056252320946698686,0.20629316960859556,0.046186220384720124,0.8210544846404365,3.9800371781491397,1.0,0.03458175079878566,4.435466453554718,0.7933752656941463,0.21347003226766137,0.7745445692191923,0.5224704066827375
frozenset({'/history'}),frozenset({'/icons'}),0.056252320946698686,0.08148936696952443,0.010640457505013245,0.18915588416512633,2.321233937623632,1.0,0.0060564914805002505,1.1327832503103812,0.6031216416976392,0.08371640046747177,0.11721858552728327,0.15986534030835003
frozenset({'/icons'}),frozenset({'/history'}),0.08148936696952443,0.056252320946698686,0.010640457505013245,0.13057479645157372,2.3212339376236324,1.0,0.0060564914805002505,1.0854846112138676,0.619693043357592,0.08371640046747177,0.07875248560020821,0.15986534030835003
